track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
443jJdROJpDVhuPOx0aX46,,,,0,0,False,0.59,0.417,11,-13.843,0,0.0313,0.408,0.000305,0.101,0.551,100.012,4,Unknown
4MGTYzFHCVehaWLdvLlvSi,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa,Allah Ke Bande - Live,0,275026,False,0.773,0.407,7,-7.991,1,0.0328,0.49,0.0,0.0834,0.925,98.076,4,"filmi, indian folk, sufi, modern bollywood"
36pN70WDUN8tAmdHSwXf2M,Hariharan,Yaadein (Original Motion Picture Soundtrack),"Yaadein Yaad Aati Hai (From ""Yaadein"")",0,312960,False,0.548,0.373,2,-9.484,1,0.0345,0.199,7.88e-06,0.0802,0.386,82.974,4,"ghazal, filmi"
0sSapNABKrGwgaMhn0p8uL,Mika Singh,Khiladi 786,Long Drive,53,268442,False,0.753,0.89,2,-5.022,1,0.187,0.44,6.82e-06,0.0854,0.283,87.015,4,"filmi, modern bollywood"
1VuBmEauSZywQVtqbxNqka,U2,All That You Can't Leave Behind,Beautiful Day,63,246400,False,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,4,"irish rock, rock, permanent wave"
1HQfc6ROHpjLhL6tgCyNxt,Kishore Kumar,Best Of Dard-Kishore Kumar-Badi Sooni So,Meri Bheegi Bheegi Si,0,245238,False,0.461,0.511,10,-7.177,1,0.031,0.655,0.0,0.182,0.432,103.837,4,"filmi, classic bollywood"
46DQoVAH8YJQK2svxJxAa5,"A.R. Rahman, Rabbi",Jab Tak Hai Jaan,Challa,0,320000,False,0.774,0.779,0,-5.082,1,0.0472,0.118,0.0,0.118,0.595,118.002,4,filmi
2J7DdsXSl8SZvPgOY66G9I,"Madhushree, A R Rahman",Yuva,Kabhi Neem Neem,0,296893,False,0.611,0.34,0,-10.384,1,0.0689,0.0658,0.0,0.07,0.314,176.131,4,Unknown
3i02qap6MhpiEwb7JBGyX3,Prajakta Shukre,Bollywood Unwind - Romantic Classics in a Relaxing Urban Avatar,Jaane Kya Baat Hai - The Unwind Mix,14,295578,False,0.45,0.362,2,-10.912,1,0.0439,0.819,9.97e-05,0.158,0.165,91.239,4,"koligeet, modern bollywood"
5fXLfskRrJQwzXYlQvqS9J,"Asha Bhosle, Shailendra Singh",Saagar (OST),Jaane Do Naa - Saagar / Soundtrack Version,0,303346,False,0.575,0.454,3,-11.347,1,0.0349,0.779,5.75e-05,0.209,0.54,108.385,4,Unknown
